date,equity
2025-11-26,101330.9176185112
2025-11-28,102038.11430210728
2025-12-01,100668.71576085003
2025-12-02,100653.61796894607
2025-12-03,100752.92459219962
2025-12-04,100913.18729569964
2025-12-05,101068.61556122925
2025-12-08,101220.54005435125
2025-12-09,101220.54005435125
2025-12-10,101190.17895083269
2025-12-11,101280.3859110337
2025-12-12,100820.85347276177
2025-12-15,100719.8020869529
2025-12-16,100719.8020869529
2025-12-17,100719.8020869529
2025-12-18,100719.8020869529
2025-12-19,100719.8020869529
2025-12-22,100719.8020869529
2025-12-23,100719.8020869529
2025-12-24,100689.59117980019
2025-12-26,100739.15063310578
2025-12-29,100741.72234612686
2025-12-30,100712.14932793983
2025-12-31,100642.14003796899
2026-01-02,100648.04877515754
2026-01-05,100338.62234046478
2026-01-06,101098.52124228816
2026-01-07,99893.36869080586
2026-01-08,99961.20278854884
2026-01-09,100350.29374302883
2026-01-12,100299.65787284935
2026-01-13,100314.65909115248
2026-01-14,100369.60259946538
2026-01-15,100387.73308497138
2026-01-16,99997.4827285902
2026-01-20,98898.87558581092
2026-01-21,99372.49117852064
2026-01-22,99564.3398786701
2026-01-23,99551.89254724786
2026-01-26,99719.30972278406
2026-01-27,99787.19591502065
2026-01-28,99677.1205966487
2026-01-29,98692.23422354535
2026-01-30,98868.94073342867
2026-02-02,98832.53771094585
2026-02-03,99191.68245938503
2026-02-04,99275.91220007393
2026-02-05,97899.5831994477
2026-02-06,100164.74679893469
2026-02-09,98762.63420154847
2026-02-10,98715.72948479696
2026-02-11,98084.33699131629
2026-02-12,96988.62658991697
2026-02-13,96459.37757294827
2026-02-17,96271.39407853129
2026-02-18,96484.23101747368
2026-02-19,96355.57993850866
2026-02-20,97094.58125486609
2026-02-23,94655.35504340765
2026-02-24,95040.56618475614
2026-02-25,94910.27975285822
2026-02-26,94925.73030518132
2026-02-27,94653.68259197105
2026-03-02,93846.78766413391
