date,equity
2025-11-26,102967.1007433224
2025-11-28,103201.07811916951
2025-12-01,103069.5775030535
2025-12-02,103069.5775030535
2025-12-03,103069.5775030535
2025-12-04,103069.5775030535
2025-12-05,103069.5775030535
2025-12-08,103069.5775030535
2025-12-09,103069.5775030535
2025-12-10,103069.5775030535
2025-12-11,103069.5775030535
2025-12-12,103069.5775030535
2025-12-15,103069.5775030535
2025-12-16,103069.5775030535
2025-12-17,103069.5775030535
2025-12-18,103069.5775030535
2025-12-19,103069.5775030535
2025-12-22,103069.5775030535
2025-12-23,103069.5775030535
2025-12-24,103069.5775030535
2025-12-26,103069.5775030535
2025-12-29,103069.5775030535
2025-12-30,103069.5775030535
2025-12-31,103069.5775030535
2026-01-02,103069.5775030535
2026-01-05,103069.5775030535
2026-01-06,103069.5775030535
2026-01-07,103069.5775030535
2026-01-08,103069.5775030535
2026-01-09,103069.5775030535
2026-01-12,103069.5775030535
2026-01-13,103069.5775030535
2026-01-14,103069.5775030535
2026-01-15,103069.5775030535
2026-01-16,103069.5775030535
2026-01-20,103069.5775030535
2026-01-21,103069.5775030535
2026-01-22,103069.5775030535
2026-01-23,103069.5775030535
2026-01-26,103069.5775030535
2026-01-27,103069.5775030535
2026-01-28,103069.5775030535
2026-01-29,103069.5775030535
2026-01-30,103069.5775030535
2026-02-02,103069.5775030535
2026-02-03,103069.5775030535
2026-02-04,103069.5775030535
2026-02-05,103054.11964187976
2026-02-06,103189.33211585238
2026-02-09,103690.47523672902
2026-02-10,103983.21125375963
2026-02-11,103792.93912458557
2026-02-12,103792.93912458557
2026-02-13,103792.93912458557
2026-02-17,103792.93912458557
2026-02-18,103761.8064299016
2026-02-19,103761.47613889418
2026-02-20,104448.92487581068
2026-02-23,104044.77025094957
2026-02-24,104044.77025094957
2026-02-25,104044.77025094957
2026-02-26,104044.77025094957
2026-02-27,104044.77025094957
2026-03-02,104029.16613523127
