date,equity
2025-01-28,101659.68281099224
2025-01-29,101752.05367243773
2025-01-30,102271.26128995816
2025-01-31,101786.01592627767
2025-02-03,101664.05015891438
2025-02-04,101954.73359145001
2025-02-05,100554.99721093877
2025-02-06,100563.49322800622
2025-02-07,100167.71319225278
2025-02-10,100523.75175057349
2025-02-11,100411.39677590219
2025-02-12,100029.08439387442
2025-02-13,100929.78211352206
2025-02-14,100749.98144678099
2025-02-18,102562.32371783741
2025-02-19,102485.41478893254
2025-02-20,103015.16050399057
2025-02-21,102824.27130325133
2025-02-24,103121.78125035668
2025-02-25,103823.43912231382
2025-02-26,102984.13618050037
2025-02-27,102937.47415030886
2025-02-28,103055.75840101548
2025-03-03,101699.3819567119
2025-03-04,100814.70263517249
2025-03-05,101663.0781710996
2025-03-06,101363.81907208166
2025-03-07,101641.73342093489
2025-03-10,101528.70324274301
2025-03-11,101170.75699848702
2025-03-12,102064.59268856508
2025-03-13,100287.778076649
2025-03-14,103034.84608068243
2025-03-17,103774.55151962934
2025-03-18,102930.67716697711
2025-03-19,103614.71955707653
2025-03-20,103636.84859097647
2025-03-21,104494.74970471108
2025-03-24,107735.91101745785
2025-03-25,108009.61851106267
2025-03-26,107231.00331967132
2025-03-27,107391.73305093244
2025-03-28,106312.30808569101
2025-03-31,107337.06576647186
2025-04-01,107518.57098243074
2025-04-02,107619.14586050368
2025-04-03,107603.00567775869
2025-04-04,107159.41635150771
2025-04-07,106902.83369387242
2025-04-08,106971.41543489872
2025-04-09,117746.43983400842
2025-04-10,113330.66174431391
2025-04-11,114867.44085939422
2025-04-14,114706.96790830884
2025-04-15,114655.35837147334
2025-04-16,113967.98853631319
2025-04-17,114705.55862418008
2025-04-21,112747.01980277857
2025-04-22,114453.36765429079
2025-04-23,115217.29100277695
2025-04-24,117305.18273765624
2025-04-25,117409.93201185875
2025-04-28,117691.19931716882
2025-04-29,117691.19931716882
2025-04-30,117673.54857808082
2025-05-01,117796.71407798231
2025-05-02,118062.63958913324
2025-05-05,117890.6911547695
2025-05-06,117873.01049689067
2025-05-07,117913.2392655505
2025-05-08,118248.80608721399
2025-05-09,118848.18837229356
2025-05-12,120978.82202801987
2025-05-13,120603.43959564374
2025-05-14,120311.18284428745
2025-05-15,120496.84904345563
2025-05-16,120702.79803804842
2025-05-19,120787.45603862476
2025-05-20,120597.56862728667
2025-05-21,120930.23397768431
2025-05-22,121095.47951121518
2025-05-23,120923.71112767652
2025-05-27,121205.63723304027
2025-05-28,121027.43924759114
2025-05-29,121182.92697839814
2025-05-30,121168.96093667444
2025-06-02,121493.93227469549
2025-06-03,121621.11581890864
2025-06-04,122228.65614987015
2025-06-05,121684.50646490871
2025-06-06,122005.3013894709
2025-06-09,123182.38280040878
2025-06-10,124909.78992745961
2025-06-11,124518.74004915045
2025-06-12,124105.14596318259
2025-06-13,123249.39162748994
2025-06-16,124699.75691477678
2025-06-17,125003.06515425965
2025-06-18,124879.8919870652
2025-06-20,125114.47832670652
2025-06-23,124965.64668800498
2025-06-24,124690.17258241143
2025-06-25,124500.70354614235
2025-06-26,124818.02855514419
2025-06-27,125135.81104695523
2025-06-30,125466.22462732227
2025-07-01,125017.35817629145
2025-07-02,125177.8374441942
2025-07-03,125264.19080642496
2025-07-07,124449.55428794066
2025-07-08,124471.75399030022
2025-07-09,124471.75399030022
2025-07-10,124453.0863374404
2025-07-11,124629.9387578596
2025-07-14,124712.09066505685
2025-07-15,125515.44066387642
2025-07-16,125857.86380248758
2025-07-17,126162.91736818495
2025-07-18,125819.67314689801
2025-07-21,125705.00044557542
2025-07-22,126060.0777529457
2025-07-23,126498.21922923294
2025-07-24,126013.87181926241
2025-07-25,126549.52598694243
2025-07-28,126574.15422233146
2025-07-29,125673.44180188556
2025-07-30,125491.49074582828
2025-07-31,124128.8192616772
2025-08-01,122866.15123076102
2025-08-04,124171.8122285268
2025-08-05,125912.74648514454
2025-08-06,125583.79966384481
2025-08-07,125094.58104991687
2025-08-08,126455.9933702087
2025-08-11,126612.48159432727
2025-08-12,126555.85446363805
2025-08-13,128045.04098605891
2025-08-14,129307.29072247472
