ticker,side,entry_date,exit_date,holding_days,exit_reason,entry_price,exit_price,shares,pnl,pnl_pct,commission,cumulative_pnl,is_winner
ADBE,long,2025-01-16,2025-01-21,5,time_based,426.99339,436.031875,23.41956628415255,201.46572116725292,2.014657211672529,10.211677398565818,201.46572116725292,True
MTCH,long,2025-01-16,2025-01-21,5,time_based,32.73636,32.713635,305.4707365143834,-16.93488066480313,-0.1693488066480313,9.99305817751271,184.5308405024498,False
PYPL,long,2025-01-16,2025-01-21,5,time_based,88.96446,89.685135,112.40443655814917,70.92606024922861,0.7092606024922861,10.081007067316545,255.4569007516784,True
FISV,long,2025-01-16,2025-01-21,5,time_based,206.3481225,208.81554,48.46179300710624,109.455900670966,1.09455900670966,10.119575476147112,364.9128014226444,True
CB,long,2025-01-16,2025-01-21,5,time_based,273.70678499999997,268.67059750000004,36.53544796121879,-193.81536696285912,-1.9381536696285913,9.816000633670813,171.0974344597853,False
SCHW,long,2025-01-16,2025-01-21,5,time_based,75.55775999999999,80.88953500000001,132.34907969743944,694.949858889413,6.94949858889413,10.705655514403817,866.0472933491983,True
SPGI,long,2025-01-16,2025-01-21,5,time_based,505.6677075,509.794975,19.775832729045685,71.53853155631987,0.7153853155631986,10.081620151708028,937.5858249055182,True
MCO,long,2025-01-16,2025-01-21,5,time_based,479.549655,484.147805,20.852897913147284,85.78886778679953,0.8578886778679953,10.09588475253934,1023.3746926923177,True
MSCI,long,2025-01-16,2025-01-21,5,time_based,609.894795,617.1962475,16.39627044201943,109.59687321974707,1.0959687321974707,10.119716589809558,1132.9715659120648,True
NDAQ,long,2025-01-16,2025-01-21,5,time_based,78.41918999999999,79.81507250000001,120.05352261353377,157.9985306683102,1.6782466479187446,9.58208061127959,1290.970096580375,True
META,long,2025-01-21,2025-01-27,6,time_based,616.7081999999999,659.59004,16.40833632446924,692.796877719491,6.846390231230945,10.82277521259012,1983.766974299866,True
LRCX,long,2025-01-21,2025-01-27,6,time_based,81.550755,75.60218,124.08414317755904,-747.5048637301024,-7.387028090665732,9.381031727655591,1236.2621105697635,False
ORCL,long,2025-01-21,2025-01-27,6,time_based,172.656285,158.22085,58.6086719035918,-855.3147875865834,-8.452432444031798,9.273113885957413,380.94732298318013,False
CRWD,long,2025-01-21,2025-01-27,6,time_based,366.54318,373.65807750000005,27.60699451469275,186.1053597591872,1.8391392311541495,10.31557649591314,567.0526827423673,True
BIIB,long,2025-01-21,2025-01-27,6,time_based,140.9054175,148.73559500000002,71.81523421310638,551.6445495019452,5.4514879848391935,10.681481590750735,1118.6972322443125,True
WAT,long,2025-01-21,2025-01-27,6,time_based,413.83181249999996,413.57311,24.45233849598752,-16.438710778316818,-0.16245140892835863,10.112829678558281,1102.2585214659957,False
LVS,long,2025-01-21,2025-01-27,6,time_based,45.38267999999999,43.428275000000006,222.97395305120895,-445.46478286398997,-4.4021932486137585,9.683374150944994,656.7937386020058,False
PVH,long,2025-01-21,2025-01-27,6,time_based,96.418185,90.37479,104.95069534505383,-643.7434045469836,-6.361631667304242,9.484897052163218,13.050334055022176,False
HSY,long,2025-01-21,2025-01-27,6,time_based,153.54673499999998,153.333295,65.90277259661717,-24.171377054895856,-0.23886753111356157,10.105089271875016,-11.12104299987368,False
AAPL,long,2025-01-22,2025-01-27,5,time_based,223.92190499999998,229.86501,42.544649669892905,243.06779385457412,2.5514430979854517,9.77952632181643,231.94675085470044,True
MRVL,long,2025-01-28,2025-02-03,6,time_based,103.89192,113.5432,96.28461305924093,918.3372972488833,9.180441366373831,10.932463077508004,1150.2840481035837,True
