date,equity
2025-01-29,99975.46335444861
2025-01-30,101010.19061158788
2025-01-31,100726.93182719691
2025-02-03,99954.8493141086
2025-02-04,99908.23364688785
2025-02-05,99873.9339290162
2025-02-06,100730.13910738741
2025-02-07,100037.9379084524
2025-02-10,99315.87479082933
2025-02-11,98928.04793599268
2025-02-12,98496.91632746602
2025-02-13,99395.43220059329
2025-02-14,99964.13890511409
2025-02-18,100806.83001150354
2025-02-19,100806.83001150354
2025-02-20,100776.59300032268
2025-02-21,100433.96892616084
2025-02-24,100348.52671366252
2025-02-25,101003.55939584272
2025-02-26,100529.90348410608
2025-02-27,100474.19538169653
2025-02-28,100889.46142108805
2025-03-03,98737.71384460478
2025-03-04,97950.33578845124
2025-03-05,99471.70567788613
2025-03-06,99001.10199065947
2025-03-07,100187.66296693843
2025-03-10,99545.25396258672
2025-03-11,98276.6288078476
2025-03-12,100620.21979314214
2025-03-13,97371.59141183693
2025-03-14,100459.3929453352
2025-03-17,100664.3084362319
2025-03-18,99059.24990426225
2025-03-19,100769.23157651661
2025-03-20,100409.63025152186
2025-03-21,100105.44569367434
2025-03-24,102201.43555356932
2025-03-25,102201.43555356932
2025-03-26,102063.48659940308
2025-03-27,101406.38883834492
2025-03-28,99823.96891031376
2025-03-31,100288.21162489649
2025-04-01,100213.08899510252
2025-04-02,100512.46147279856
2025-04-03,93138.88468779446
2025-04-04,87144.34797343287
2025-04-07,86898.32980719741
2025-04-08,85491.17609045145
2025-04-09,98418.13524459275
2025-04-10,91909.55500225702
2025-04-11,94420.5869153642
2025-04-14,94069.90039601154
2025-04-15,93001.3559591002
2025-04-16,91737.87128772831
2025-04-17,93069.29873583763
2025-04-21,91755.04676045838
2025-04-22,94129.1074675867
2025-04-23,95178.71815560342
2025-04-24,98651.3806125627
2025-04-25,98372.16724918678
2025-04-28,98144.99231320206
2025-04-29,99910.45207212756
2025-04-30,101198.07218529929
2025-05-01,100498.9089025517
2025-05-02,101764.97874441149
2025-05-05,101456.49239124742
2025-05-06,101424.40230165326
2025-05-07,101388.52608206551
2025-05-08,101757.5082838709
