ticker,entry_date,exit_date,entry_price,exit_price,shares,side,pnl,pnl_pct,commission
NVDA,2025-01-21,2025-01-27,140.880405,118.45074500000001,71.30866557741011,long,-1607.8756885176117,-16.005143330614352,8.446564562600084
MA,2025-01-17,2025-01-31,525.0724049999999,555.26223,19.034782076684284,long,564.0874442647746,5.643900248385777,10.569295543463747
META,2025-01-21,2025-02-19,616.7081999999999,703.1582450000001,16.289703439252303,long,1396.7913560781053,13.903964104093355,11.454239281915116
GOOGL,2025-01-31,2025-02-21,204.152025,179.5751675,50.84973233705406,long,-1258.8579747626773,-12.12646931496272,9.131349201756647
ABT,2025-01-16,2025-03-04,113.946945,137.501215,87.76014135350448,long,2055.0589386139327,20.550589386139325,12.067126064678611
COST,2025-01-17,2025-03-19,943.75164,903.2381550000001,10.590327348893942,long,-438.6166559299636,-4.388519330678972,9.565587735461007
MS,2025-01-27,2025-04-03,136.818375,107.87603500000002,61.90990252438977,long,-1798.496043039314,-21.232686059164195,6.6785948115676605
DIS,2025-01-17,2025-04-03,107.07350999999998,88.73561000000001,93.34371128447653,long,-1720.0105543240916,-17.209331803916744,8.28291116049191
UNH,2025-02-19,2025-04-17,511.21547999999996,453.942915,20.26009502467871,long,-1169.5445358007673,-11.292010937344852,9.19692659367965
LLY,2025-01-21,2025-05-06,742.481055,774.922345,13.530303054742717,long,428.45555101505124,4.264939481183114,10.48493417174189
AMZN,2025-01-22,2025-05-14,235.11749999999998,210.07491000000002,39.384316921270894,long,-994.5589579220959,-10.740444633002639,8.273656832647461
TSLA,2025-03-19,2025-05-15,235.83785999999998,342.6735775,41.92866928901838,long,4465.111620207412,45.15519430277226,14.36784710508231
BAC,2025-04-17,2025-05-15,37.43871,44.39779000000001,242.3257022981861,long,1675.605222707025,18.469338847412228,10.758725642237385
BMY,2025-01-21,2025-06-18,57.06852,46.826575000000005,176.03389200482326,long,-1811.1725042958442,-18.02880392727899,8.243064246505757
GS,2025-06-18,2025-07-01,635.5176,706.1267600000001,16.002089283478696,long,1118.5945790924616,10.999385892695994,11.299503458973536
UNH,2025-05-28,2025-07-02,298.098975,307.376235,33.65476171683994,long,301.8793007388249,3.0090287177270447,10.344673946344397
MRK,2025-07-01,2025-07-11,81.86090999999999,83.29833,130.25070766530354,long,176.3753057824233,1.6541737320046959,10.849666429837985
JPM,2025-05-08,2025-07-28,253.85686499999997,298.120865,37.35623291554051,long,1642.3996213035643,17.31916099058422,11.13667246992241
AMD,2025-07-14,2025-07-29,146.323125,177.33129,73.05390678659559,long,2252.312852003368,21.070376750086485,12.95474353000675
NKE,2025-07-28,2025-07-29,79.27962,78.30083,138.73597510399344,long,-146.6565270735391,-1.3333702028339633,10.863142001502023
COST,2025-07-29,2025-09-11,935.1173249999999,963.9927625,11.828456514203818,long,330.14931032612367,2.984806717969872,11.40254647123846
PEP,2025-01-17,2025-09-23,148.344135,141.76408250000003,67.37468120094879,long,-452.8802493371859,-4.531231775695049,9.551309864182505
PFE,2025-02-21,2025-10-06,26.31315,26.426780000000004,387.0941206003617,long,33.75585375941955,0.33140547596923653,10.229651164399227
MSFT,2025-03-04,2025-10-30,388.82431499999996,525.4121625,26.268674643322008,long,3574.1798450588267,34.99329390897275,13.801881150356733
INTC,2025-07-30,2025-10-30,20.340165,40.09994,541.2611050407332,long,10673.493114019786,96.94943507095444,21.704537836467097
HON,2025-05-14,2025-10-31,217.27858499999996,201.31929,42.479344142875874,long,-686.4922959851865,-7.4377391080671735,8.551911402509429
JPM,2025-09-11,2025-11-14,305.642745,303.44820000000004,38.10407128296686,long,-95.18371095716611,-0.8172918352765055,11.562611843487987
BRK.B,2025-10-30,2025-12-03,478.93434749999994,504.02786,28.45055845462745,long,699.5845701194849,5.134207802876372,14.33987409369078
AMD,2025-09-23,2025-12-08,161.010465,220.979455,74.23181136535186,long,4435.203048231493,37.10815352592143,16.40370521917826
CRM,2025-10-06,2025-12-09,245.84285999999997,260.939465,51.264082698887705,long,760.5367848792794,6.034613140686708,13.376822313163514
GOOGL,2025-04-07,2026-01-14,146.65329,335.7570375,47.82456061581841,long,9027.746202200065,128.7171876352041,16.05743279210637
JNJ,2025-04-03,2026-01-28,159.8799,227.65611500000003,60.351363221855166,long,4076.64761238151,42.24956288126278,13.739356886041433
ABBV,2025-05-27,2026-01-28,185.57273999999998,218.59065,54.404122802163776,long,1784.4181977447897,17.674643026772177,11.892232566004804
AMGN,2025-07-02,2026-01-28,296.9333925,342.10886,35.84445467444718,long,1607.0272916747144,15.09879312075013,12.262705525996795
BMY,2025-10-30,2026-01-28,45.662819999999996,54.60268500000001,298.4035950797083,long,2651.394218022255,19.45841784410164,16.293637505004863
LLY,2025-10-31,2026-01-28,863.3664674999999,1023.278105,15.794904843849377,long,2509.6265174393666,18.403350764257016,16.16258029726951
TSLA,2025-11-17,2026-01-28,409.22450999999995,430.13482500000003,34.302093771211325,long,702.5130608141535,5.004631852329669,14.754525101413574
AXP,2025-12-03,2026-01-28,368.32406999999995,356.631595,38.9339428482747,long,-469.11922754249645,-3.2713329310788506,13.88507413761905
LMT,2025-12-08,2026-01-28,465.54765749999996,597.00135,30.52046866923081,long,3993.8075424027884,28.10811933899593,18.220760998163495
PG,2025-12-10,2026-01-28,139.85489249999998,147.28632000000002,102.54773166340975,long,746.9721551250386,5.208356354068957,15.103878021051104
NVDA,2026-01-15,2026-01-28,187.243575,191.42424000000003,80.07058583215071,long,319.4208446786961,2.13050875577441,15.32745103927422
