ticker,side,entry_date,exit_date,holding_days,exit_reason,entry_price,exit_price,shares,pnl,pnl_pct,commission,cumulative_pnl,is_winner
MS,long,2026-02-13,2026-02-17,4,signal_or_eod,171.26559,171.484215,58.38884506806066,2.7524959917500382,0.02752495991750038,10.012765261253003,2.7524959917500382,True
AMZN,long,2026-02-13,2026-02-18,5,time_based,198.91440749999998,204.57766,50.27287930362712,274.423301389068,2.74423301389068,10.284708009398466,277.17579738081804,True
DIS,long,2026-02-13,2026-02-18,5,time_based,105.49772249999998,107.02646,94.78877612737092,134.76224948837262,1.3476224948837263,10.144907156645019,411.93804686919066,True
V,long,2026-02-17,2026-02-23,6,time_based,319.789815,306.32676000000004,31.295760653063667,-430.92327590161767,-4.30575994423084,9.586728962588479,-18.985229032427014,False
AXP,long,2026-02-17,2026-02-23,6,time_based,344.822325,321.089375,29.023832808758858,-698.1404171953018,-6.975777851680566,9.319244336668877,-717.1256462277288,False
UNH,long,2026-02-17,2026-02-23,6,time_based,289.44464999999997,282.15885000000003,34.576785266293605,-261.67568806059535,-2.61464803374323,9.756145967434348,-978.8013342883241,False
NKE,long,2026-02-17,2026-02-23,6,time_based,64.85240999999999,63.04846,154.32064143071182,-288.1163998973516,-2.8788420661622336,9.729678788418576,-1266.9177341856757,False
GOOGL,long,2026-02-18,2026-02-23,5,time_based,303.36160499999994,311.32925750000004,33.11517002888777,253.5404459715137,2.523827378385616,10.309721297079882,-1013.377288214162,True
AMZN,long,2026-02-18,2026-02-23,5,time_based,204.78234,205.19735000000003,49.056335276817755,10.292639703717214,0.10245641787274809,10.06622999951452,-1003.0846485104448,True
GE,long,2026-02-20,2026-02-23,3,signal_or_eod,343.381605,338.8055125,29.459201302441677,-144.78896993120725,-1.431322453193139,9.98093979511442,-1147.873618441652,False
CRM,long,2026-02-20,2026-02-25,5,time_based,185.29259999999996,191.84403,54.5933719169061,347.19124209774964,3.432185618853657,10.473412479828092,-800.6823763439024,True
ABBV,long,2026-02-23,2026-03-02,7,time_based,229.55471999999997,234.63762250000002,42.84580248750812,207.7277993484895,2.112030141440804,10.053237229773492,-592.9545769954129,True
LLY,long,2026-02-23,2026-03-02,7,time_based,1058.68908,1052.05371,9.290221632582842,-71.417870049474,-0.7261266650639476,9.773812135281036,-664.3724470448869,False
TMO,long,2026-02-23,2026-03-02,7,time_based,516.7932675,506.7165150000001,19.031703413580615,-201.4214433802972,-2.047911550047398,9.643678428243176,-865.7938904251841,False
PG,long,2026-02-23,2026-03-02,7,time_based,165.18255,165.89701,59.542949259441926,32.663058279178586,0.33209500034962175,9.87799724872313,-833.1308321460056,True
AAPL,long,2026-02-24,2026-03-02,6,time_based,272.326095,263.00343250000003,36.1690462196536,-346.704394158749,-3.5199219276066556,9.512583306020048,-1179.8352263047545,False
MSFT,long,2026-02-24,2026-03-02,6,time_based,389.25453,398.02089000000007,25.30420164120576,211.75414024142992,2.1498373082517657,10.07160085797218,-968.0810860633246,True
DIS,long,2026-02-26,2026-03-02,4,signal_or_eod,105.602775,104.00297250000001,93.5500706845897,-159.39112238516464,-1.6134097541470744,9.729485428782441,-1127.4722084484893,False
V,long,2026-03-02,2026-03-02,0,signal_or_eod,318.07896,317.76104000000004,31.0324984812772,-19.72677090837533,-0.19985007496250473,9.860918991209067,-1147.1989793568646,False
RTX,long,2026-03-02,2026-03-02,0,signal_or_eod,210.11000249999998,209.8999975,46.97912867392514,-19.72677090837533,-0.19985007496250473,9.860918991209067,-1166.92575026524,False
