ticker,side,entry_date,exit_date,holding_days,exit_reason,entry_price,exit_price,shares,pnl,pnl_pct,commission,cumulative_pnl,is_winner
WFC,long,2025-11-18,2025-11-24,6,time_based,83.91693749999999,84.5577,119.16545453055888,66.28039780407926,0.6628039780407925,10.076356754558638,66.28039780407926,True
DIS,long,2025-11-18,2025-11-24,6,time_based,106.3581525,101.86904000000001,94.02194157142773,-431.6529981093827,-4.316529981093827,9.577924926817435,-365.3726003053034,False
JPM,long,2025-11-19,2025-11-24,5,time_based,303.36160499999994,297.920965,32.91335447671776,-188.87529122729757,-1.8916569764983644,9.805578327090826,-554.247891532601,False
V,long,2025-11-19,2025-11-24,5,time_based,324.10197,329.01041250000003,30.807119253212292,141.07911043159947,1.4129602752800305,10.135863013436069,-413.1687811010015,True
MA,long,2025-11-19,2025-11-24,5,time_based,530.5951650000001,537.37118,18.8178270338951,117.39772033083682,1.1757822595311258,10.11215791824011,-295.7710607701647,True
AXP,long,2025-11-19,2025-11-24,5,time_based,344.742285,355.772025,28.962643906566417,309.1463335300177,3.096216634695672,10.304098471993044,13.375272759853033,True
GE,long,2025-11-19,2025-11-24,5,time_based,300.99042,293.82301500000005,33.1726439665124,-247.50866049455908,-2.4788921903228287,9.746886265762235,-234.13338773470605,False
CRM,long,2025-11-20,2025-11-25,5,time_based,225.42765749999998,233.972955,43.83176254534424,364.3000038937316,3.686914301986219,10.255447005592513,130.16661615902558,True
WMT,long,2025-11-20,2025-11-25,5,time_based,107.19357,106.916515,92.17802480776776,-35.39373583514498,-0.35820386894473905,9.855353172030075,94.7728803238806,False
COST,long,2025-11-20,2025-11-25,5,time_based,893.6966249999999,893.702925,10.869490621587241,-9.645617770855097,-0.09929576773324651,9.714095561772586,85.1272625530255,False
META,long,2025-11-24,2025-12-01,7,time_based,613.4765849999999,640.569555,16.1954858037296,428.4094758815718,4.311884282429498,10.37433513430389,513.5367384345973,True
BA,long,2025-11-26,2025-12-01,5,time_based,187.01345999999998,186.44673,53.634192285685664,-40.396025561922215,-0.40273931619679554,9.99991976785732,473.14071287267507,False
AMD,long,2025-12-18,2025-12-23,5,time_based,201.14051999999998,214.77256,49.892371659018494,669.4192937649277,6.670593990708587,10.71551238567885,1142.5600066376028,True
AAPL,long,2026-01-26,2026-02-02,7,time_based,255.51769499999997,269.815025,39.532745358973216,554.5461775258591,5.489840918845176,10.666528677349993,1697.1061841634619,True
GE,long,2026-01-26,2026-02-02,7,time_based,295.24755,308.57563500000003,34.21303909599515,445.43698291542023,4.4096926003281,10.55731026432653,2142.543167078882,True
ABT,long,2026-01-27,2026-02-02,6,time_based,108.27411,109.36529,93.44618421083098,91.74683825156353,0.9067862206394488,10.21976903561095,2234.2900053304456,True
UNH,long,2026-01-28,2026-02-02,5,time_based,294.177015,285.6021275,34.23454891083018,-303.33486552655086,-3.0119585065134884,9.777460002935907,1930.9551398038948,False
MSFT,long,2026-02-04,2026-02-09,5,time_based,414.38709,413.483155,24.557030334331856,-32.35187759533437,-0.3179196907413294,10.153918380070241,1898.6032622085604,False
ABT,long,2026-02-05,2026-02-10,5,time_based,109.164555,112.273835,92.74232458359768,277.94931853347407,2.745402264498773,10.41253644781529,2176.5525807420345,True
NVDA,long,2026-02-06,2026-02-11,5,time_based,185.302605,189.88501,54.81339629084491,240.76893892732733,2.3704577655559596,10.40824230282105,2417.321519669362,True
TSLA,long,2026-02-06,2026-02-11,5,time_based,411.29554499999995,428.02588000000003,24.695295743091265,402.5903450136957,3.9636483589920903,10.570225692296894,2819.9118646830575,True
UNH,long,2026-02-06,2026-02-11,5,time_based,276.72829499999995,278.890485,36.704107621488085,69.12482808206005,0.6805590714892752,10.236426376049009,2889.0366927651176,True
MSFT,long,2026-02-09,2026-02-17,8,time_based,413.896845,396.56162,24.695508581956513,-437.8954886476313,-4.284107703212858,9.793290889984577,2451.1412041174863,False
TMO,long,2026-02-09,2026-02-17,8,time_based,546.77325,501.29922500000004,18.694025517419195,-859.4638842337681,-8.408480887643984,9.371300504012469,1591.6773198837182,False
AMZN,long,2026-02-13,2026-02-18,5,time_based,198.91440749999998,204.57766,51.052290359292066,278.6778529086441,2.74423301389068,10.444158099344532,1870.3551727923623,True
MS,long,2026-02-13,2026-02-18,5,time_based,171.26559,176.49171,59.29408288224472,299.4130783517885,2.9484196387610693,10.4649140807691,2169.768251144151,True
UNH,long,2026-02-13,2026-02-18,5,time_based,293.48666999999995,288.005925,34.601353745764825,-199.6065914271294,-1.9655921425664393,9.965394891801214,1970.1616597170214,False
DIS,long,2026-02-13,2026-02-18,5,time_based,105.49772249999998,107.02646,96.25834423427051,136.85155068998574,1.3476224948837465,10.302189828855385,2107.013210407007,True
V,long,2026-02-17,2026-02-23,6,time_based,319.789815,306.32676000000004,31.67480862302239,-436.1425321053339,-4.305759944230856,9.70284149911051,1670.8706783016733,False
AXP,long,2026-02-17,2026-02-23,6,time_based,344.822325,321.089375,29.375363644789342,-706.5961537667044,-6.9757778516805535,9.432117153103132,964.2745245349688,False
GOOGL,long,2026-02-18,2026-02-23,5,time_based,303.36160499999994,311.32925750000004,33.5769911746212,257.07629794347304,2.52382737838564,10.453499731478873,1221.3508224784418,True
AMZN,long,2026-02-18,2026-02-23,5,time_based,204.78234,205.19735000000003,49.74047046148569,10.436179919772258,0.10245641787276409,10.206612726450143,1231.787002398214,True
