date,equity
2025-11-26,100288.11576902916
2025-11-28,100636.01117444751
2025-12-01,100353.77579528242
2025-12-02,100353.77579528242
2025-12-03,100353.77579528242
2025-12-04,100353.77579528242
2025-12-05,100353.77579528242
2025-12-08,100353.77579528242
2025-12-09,100353.77579528242
2025-12-10,100353.77579528242
2025-12-11,100353.77579528242
2025-12-12,100353.77579528242
2025-12-15,100353.77579528242
2025-12-16,100353.77579528242
2025-12-17,100353.77579528242
2025-12-18,100338.72523650373
2025-12-19,100957.39064507556
2025-12-22,101031.7302788475
2025-12-23,101013.15971146783
2025-12-24,101013.15971146783
2025-12-26,101013.15971146783
2025-12-29,101013.15971146783
2025-12-30,101013.15971146783
2025-12-31,101013.15971146783
2026-01-02,101013.15971146783
2026-01-05,101013.15971146783
2026-01-06,101013.15971146783
2026-01-07,101013.15971146783
2026-01-08,101013.15971146783
2026-01-09,101013.15971146783
2026-01-12,101013.15971146783
2026-01-13,101013.15971146783
2026-01-14,101013.15971146783
2026-01-15,101013.15971146783
2026-01-16,101013.15971146783
2026-01-20,101013.15971146783
2026-01-21,101013.15971146783
2026-01-22,101013.15971146783
2026-01-23,101013.15971146783
2026-01-26,100982.8608116883
2026-01-27,101162.8501077818
2026-01-28,100695.07007497863
2026-01-29,100917.73473458017
2026-01-30,101366.21504340025
2026-02-02,101761.16339285504
2026-02-03,101761.16339285504
2026-02-04,101745.90176110383
2026-02-05,101226.5621962295
2026-02-06,101524.95203685368
2026-02-09,102183.27180630148
2026-02-10,102171.16349778218
2026-02-11,102040.09527496464
2026-02-12,101659.90275530126
2026-02-13,101489.44081679653
2026-02-17,101262.42911570772
2026-02-18,101829.14651867753
2026-02-19,101681.34971383668
2026-02-20,102508.98079490033
2026-02-23,100491.76332112038
2026-02-24,100876.76467625739
2026-02-25,101169.0825246449
2026-02-26,101319.14315462857
2026-02-27,101097.06562044285
2026-03-02,100717.77156961418
