prediction_date,ticker,signal,confidence,entry_price,exit_price,exit_date,return_pct,profitable,holding_days
2026-03-02,WFC,BUY,0.5539175108561651,82.575,78.86,2026-03-09,-4.498940357250991,False,7
2026-03-03,WFC,BUY,0.5576795669804038,82.54,78.86,2026-03-09,-4.458444390598504,False,6
2026-03-05,WFC,BUY,0.5576795669804038,82.54,77.985,2026-03-10,-5.518536467167445,False,5
