date,equity
2025-11-26,101670.93418153771
2025-11-28,102236.31652295025
2025-12-01,101304.94878940804
2025-12-02,101304.94878940804
2025-12-03,101304.94878940804
2025-12-04,101304.94878940804
2025-12-05,101304.94878940804
2025-12-08,101304.94878940804
2025-12-09,101304.94878940804
2025-12-10,101304.94878940804
2025-12-11,101304.94878940804
2025-12-12,101304.94878940804
2025-12-15,101304.94878940804
2025-12-16,101304.94878940804
2025-12-17,101304.94878940804
2025-12-18,101304.94878940804
2025-12-19,101289.75557844767
2025-12-22,101480.99641309852
2025-12-23,101436.35405720143
2025-12-24,101477.36190325314
2025-12-26,101630.34454848361
2025-12-29,101666.38432006653
2025-12-30,101666.38432006653
2025-12-31,101666.38432006653
2026-01-02,101666.38432006653
2026-01-05,101666.38432006653
2026-01-06,101666.38432006653
2026-01-07,101666.38432006653
2026-01-08,101666.38432006653
2026-01-09,101666.38432006653
2026-01-12,101666.38432006653
2026-01-13,101666.38432006653
2026-01-14,101666.38432006653
2026-01-15,101666.38432006653
2026-01-16,101666.38432006653
2026-01-20,101635.88948554936
2026-01-21,102122.61233001192
2026-01-22,102319.77041872466
2026-01-23,102306.9786089763
2026-01-26,102463.65743470017
2026-01-27,102646.28606522815
2026-01-28,102171.64658036234
2026-01-29,102397.576359147
2026-01-30,102852.6331119443
2026-02-02,103253.37292123133
2026-02-03,103253.37292123133
2026-02-04,103206.9166435497
2026-02-05,102235.37800927719
2026-02-06,103074.60240984093
2026-02-09,103452.81842497803
2026-02-10,103184.30685272191
2026-02-11,102950.3607078712
2026-02-12,102297.00791473653
2026-02-13,102133.93027764904
2026-02-17,101727.78184236
2026-02-18,102298.03788370932
2026-02-19,102149.56187387728
2026-02-20,102965.5554986984
2026-02-23,100812.05415269612
2026-02-24,101356.43995009478
2026-02-25,102346.32363536087
2026-02-26,102718.4473511851
2026-02-27,101058.95473388818
2026-03-02,100425.53685944816
