date,equity
2025-11-26,100205.61181218395
2025-11-28,100205.61181218395
2025-12-01,100205.61181218395
2025-12-02,100205.61181218395
2025-12-03,100205.61181218395
2025-12-04,100205.61181218395
2025-12-05,100205.61181218395
2025-12-08,100205.61181218395
2025-12-09,100205.61181218395
2025-12-10,100205.61181218395
2025-12-11,100205.61181218395
2025-12-12,100205.61181218395
2025-12-15,100205.61181218395
2025-12-16,100205.61181218395
2025-12-17,100205.61181218395
2025-12-18,100205.61181218395
2025-12-19,100205.61181218395
2025-12-22,100205.61181218395
2025-12-23,100205.61181218395
2025-12-24,100205.61181218395
2025-12-26,100205.61181218395
2025-12-29,100205.61181218395
2025-12-30,100205.61181218395
2025-12-31,100205.61181218395
2026-01-02,100205.61181218395
2026-01-05,100205.61181218395
2026-01-06,100205.61181218395
2026-01-07,100205.61181218395
2026-01-08,100205.61181218395
2026-01-09,100205.61181218395
2026-01-12,100205.61181218395
2026-01-13,100205.61181218395
2026-01-14,100205.61181218395
2026-01-15,100205.61181218395
2026-01-16,100205.61181218395
2026-01-20,100205.61181218395
2026-01-21,100205.61181218395
2026-01-22,100205.61181218395
2026-01-23,100205.61181218395
2026-01-26,100205.61181218395
2026-01-27,100205.61181218395
2026-01-28,100205.61181218395
2026-01-29,100205.61181218395
2026-01-30,100205.61181218395
2026-02-02,100205.61181218395
2026-02-03,100205.61181218395
2026-02-04,100205.61181218395
2026-02-05,100205.61181218395
2026-02-06,100205.61181218395
2026-02-09,100205.61181218395
2026-02-10,100205.61181218395
2026-02-11,100205.61181218395
2026-02-12,100205.61181218395
2026-02-13,100205.61181218395
2026-02-17,100205.61181218395
2026-02-18,100205.61181218395
2026-02-19,100205.61181218395
2026-02-20,100205.61181218395
2026-02-23,100205.61181218395
2026-02-24,100205.61181218395
2026-02-25,100205.61181218395
2026-02-26,100205.61181218395
2026-02-27,100205.61181218395
2026-03-02,100205.61181218395
