date,equity
2025-01-29,101784.31922606309
2025-01-30,102231.93345654287
2025-01-31,101814.95127971377
2025-02-03,101665.11641348156
2025-02-04,101955.8350094113
2025-02-05,100525.71235272894
2025-02-06,100217.77961408868
2025-02-07,99605.50590666474
2025-02-10,99726.35425382994
2025-02-11,99731.16344539003
2025-02-12,100259.91950241424
2025-02-13,101784.44032692106
2025-02-14,101748.602333724
2025-02-18,103628.87124795148
2025-02-19,103582.24602417112
2025-02-20,104030.63667056664
2025-02-21,103879.6646219703
2025-02-24,104508.44660238322
2025-02-25,105122.71034067217
2025-02-26,104122.6218560703
2025-02-27,104327.97978625736
2025-02-28,104615.85686265309
2025-03-03,103478.29837574784
2025-03-04,102839.77864203192
2025-03-05,103721.30503444391
2025-03-06,103322.73219165788
2025-03-07,103383.84159946468
2025-03-10,102621.12640354654
2025-03-11,102513.39217054508
2025-03-12,103168.31857024776
2025-03-13,101353.58021386739
2025-03-14,103885.76503115143
2025-03-17,104908.50650863093
2025-03-18,104623.37067122542
2025-03-19,105095.04547825991
2025-03-20,105032.33205666144
2025-03-21,105959.03829857902
2025-03-24,109228.61537084964
2025-03-25,109652.97207743693
2025-03-26,109111.16344508299
2025-03-27,109279.32759727513
2025-03-28,108676.70546858647
2025-03-31,109606.84982622818
2025-04-01,109792.10432422593
2025-04-02,109894.91599860949
2025-04-03,109878.4345072096
2025-04-04,109425.46481156253
2025-04-07,109163.45632429875
2025-04-08,109233.48833030343
2025-04-09,120236.3669701134
2025-04-10,115727.21055230935
2025-04-11,117296.4871936523
2025-04-14,117097.48686598282
2025-04-15,117058.27844362141
2025-04-16,115553.66875263226
2025-04-17,116650.25156373368
2025-04-21,114576.15274186696
2025-04-22,115548.09776021962
2025-04-23,116323.22817399944
2025-04-24,118431.12634557298
2025-04-25,118539.5554155262
2025-04-28,118820.87463119057
2025-04-29,118785.23430687592
2025-04-30,118995.21460985404
2025-05-01,118847.59751217485
2025-05-02,119186.88753565183
2025-05-05,119002.41230671752
2025-05-06,118984.56491844504
2025-05-07,119025.17304846579
2025-05-08,119363.90429922781
2025-05-09,119986.94196311744
2025-05-12,121587.85392743166
2025-05-13,121487.77296997303
2025-05-14,121253.36500185434
2025-05-15,122390.51683812312
2025-05-16,123021.72688390072
2025-05-19,124156.36467747157
2025-05-20,124210.68080836756
2025-05-21,123763.68506444688
2025-05-22,123933.53949631621
2025-05-23,123756.98028424152
2025-05-27,124046.85055309233
2025-05-28,123864.47538165233
2025-05-29,124023.60794137951
2025-05-30,124009.3145179871
2025-06-02,124323.24982113481
2025-06-03,124448.23635133202
2025-06-04,125005.40463742694
2025-06-05,124448.82514564873
2025-06-06,124777.13703215867
2025-06-09,126095.3203713848
2025-06-10,127927.6289950324
2025-06-11,127788.39400609414
